Time(s)	Temp(K)	mass27.8653
118.69578886032104	687.37	839.6230533413911
118.85379815101624	688.37	857.887121298792
119.02780795097351	688.9	831.6372997784273
119.19881772994995	689.96	855.250676342598
119.35682678222656	690.44	834.9869858821905
119.51383566856384	691.49	834.0954344477287
119.6878457069397	692.03	846.6026274283198
119.85985541343689	693.06	832.3123315788054
120.01686477661133	694.11	866.9936823793648
120.19387459754944	694.7	831.751927820001
120.35188364982605	695.15	845.7110759938581
120.5258936882019	696.23	812.4562074884374
120.68190240859985	697.27	851.6335248084965
120.84491181373596	697.79	843.138313282983
121.00892114639282	698.31	823.4732359285711
121.17793083190918	699.4	849.4938013657884
121.3369402885437	699.92	848.4621489916254
121.49394917488098	700.94	848.6022499313267
121.66795897483826	701.45	856.4606390036532
121.84096884727478	702.51	823.4987088266985
121.99897789955139	703.03	851.2259584384568
122.15598678588867	704.09	831.2042605102602
122.32799673080444	704.58	845.7110759938581
122.49800634384155	705.64	863.8605159096851
122.65601539611816	706.16	838.6296103144196
122.81402468681335	707.2	856.091281980805
122.98803448677063	707.77	836.8974532417512
123.15804409980774	708.75	845.2016180313086
123.3150532245636	709.32	871.5915404913743
123.47206211090088	710.34	836.2861036866917
123.64807224273682	710.88	855.0723660557059
123.82008194923401	711.99	848.2201564594145
123.97709107398987	712.51	833.6623951795617
124.13410019874573	713.56	861.198598055364
124.308109998703	714.13	834.2737447346211
124.47811961174011	715.15	853.7605118021407
124.63612866401672	715.67	845.8766498316868
124.79413771629333	716.84	849.6211658564258
124.96814775466919	717.31	839.9414645679847
125.14215779304504	718.35	835.6238083353775
125.30016684532166	718.87	876.5714920752961
125.46017575263977	719.91	853.2001080433363
125.63018560409546	720.45	866.9554730321736
125.80519556999207	721.45	846.4879993867462
125.96220445632935	721.96	869.2862432108377
126.12521386146545	723.0	843.8133450833611
126.28822326660156	723.52	841.3297375159322
126.45723271369934	724.62	828.6951800447038
126.61524176597595	725.14	860.2943101718386
126.77325105667114	726.16	839.190014073224
126.947261095047	726.7	865.4653084917162
127.11627054214478	727.71	858.6258353444888
127.27527976036072	728.23	857.4540820306248
127.43328881263733	729.25	866.9045272359187
127.6072986125946	729.82	848.6022499313267
127.77830839157104	730.84	864.8539589366567
127.93531727790833	731.36	853.4038912283561
128.09332656860352	732.44	859.8485344546076
128.26733660697937	732.98	850.143360268039
128.4383463859558	734.07	854.3081791118815
128.59635519981384	734.64	884.6209278835787
128.75536441802979	735.63	848.0418461725222
128.92737412452698	736.17	863.5675775812192
129.09738397598267	737.24	892.7085730390523
129.25439286231995	737.75	846.8064106133396
129.4134020805359	738.8	883.576539060352
129.58741188049316	739.37	839.0626495825867
129.75742173194885	740.39	862.1410952860805
129.91443061828613	740.9	862.7651812902037
130.07343983650208	741.92	872.7378209071109
130.24644947052002	742.48	894.7336684401869
130.41745924949646	743.5	880.1504342622064
130.57546854019165	744.02	886.1365653221636
130.73347759246826	745.1	881.245768881688
130.90748739242554	745.62	872.7760302543021
131.0794973373413	746.68	873.4001162584253
131.2365062236786	747.19	861.5934279763397
131.3945152759552	748.18	888.696591583975
131.5675253868103	748.71	869.7702282752598
131.73853516578674	749.79	872.5849835183459
131.89554405212402	750.3	898.134300340205
132.05355310440063	751.33	872.3302545370711
132.2275629043579	751.94	913.7364504432845
132.39957284927368	753.0	879.297092174936
132.56158208847046	753.51	887.6776756588758
132.71959114074707	754.5	883.6911671019257
